#Wave     G         Gbp3      Grp3      Grvs
6430.0    0.716050  0.597228  0.683428  0.000000
6440.0    0.716030  0.588272  0.678730  0.000000
6450.0    0.715692  0.578700  0.678374  0.000000
6460.0    0.715876  0.569215  0.679906  0.000000
6470.0    0.716960  0.560135  0.683573  0.000000
6480.0    0.716886  0.549846  0.687246  0.000000
6490.0    0.716336  0.538892  0.690084  0.000000
6500.0    0.716852  0.528382  0.693246  0.000000
6510.0    0.717133  0.517227  0.695478  0.000000
6520.0    0.717218  0.505296  0.696819  0.000000
6530.0    0.717476  0.492593  0.697808  0.000000
6540.0    0.717378  0.478397  0.698526  0.000000
6550.0    0.717074  0.462367  0.699165  0.000000
6560.0    0.717315  0.444457  0.700451  0.000000
6570.0    0.717142  0.423518  0.701455  0.000000
6580.0    0.717789  0.399811  0.703417  0.000000
6590.0    0.717426  0.372012  0.704553  0.000000
6600.0    0.718062  0.341205  0.706834  0.000000
6610.0    0.717863  0.306843  0.708459  0.000000
6620.0    0.717905  0.270231  0.710490  0.000000
6630.0    0.717349  0.232192  0.712096  0.000000
6640.0    0.717572  0.194559  0.714486  0.000000
6650.0    0.717855  0.158484  0.716866  0.000000
6660.0    0.718332  0.125293  0.719373  0.000000
6670.0    0.718591  0.095930  0.721598  0.000000
6680.0    0.718370  0.071022  0.723269  0.000000
6690.0    0.717905  0.050822  0.724618  0.000000
6700.0    0.717424  0.035156  0.725858  0.000000
6710.0    0.717843  0.023555  0.727808  0.000000
6720.0    0.717133  0.015275  0.728397  0.000000
6730.0    0.718053  0.009667  0.730437  0.000000
6740.0    0.717816  0.005997  0.731098  0.000000
6750.0    0.717455  0.003705  0.731458  0.000000
6760.0    0.716811  0.002332  0.731376  0.000000
6770.0    0.716614  0.001542  0.731606  0.000000
6780.0    0.716704  0.001102  0.731975  0.000000
6790.0    0.716808  0.000861  0.732203  0.000000
6800.0    0.716405  0.000729  0.731773  0.000000
6810.0    0.716027  0.000654  0.731223  0.000000
6820.0    0.715500  0.000607  0.730433  0.000000
6830.0    0.715195  0.000574  0.729938  0.000000
6840.0    0.714879  0.000547  0.729575  0.000000
6850.0    0.714722  0.000524  0.729553  0.000000
6860.0    0.714451  0.000441  0.729599  0.000000
6870.0    0.714095  0.000378  0.729743  0.000000
6880.0    0.713727  0.000338  0.730047  0.000000
6890.0    0.713923  0.000311  0.731100  0.000000
6900.0    0.713026  0.000285  0.731126  0.000000
6910.0    0.713037  0.000258  0.732095  0.000000
6920.0    0.713585  0.000232  0.733633  0.000000
6930.0    0.711756  0.000194  0.732756  0.000000
6940.0    0.712043  0.000151  0.734072  0.000000
6950.0    0.711160  0.000114  0.734200  0.000000
6960.0    0.711021  0.000078  0.735121  0.000000
6970.0    0.710521  0.000054  0.735681  0.000000
6980.0    0.709937  0.000040  0.736146  0.000000
6990.0    0.710056  0.000028  0.737265  0.000000
7000.0    0.709496  0.000020  0.737591  0.000000
7010.0    0.709043  0.000016  0.737964  0.000000
7020.0    0.707168  0.000012  0.736782  0.000000
7030.0    0.706464  0.000010  0.736742  0.000000
7040.0    0.706753  0.000008  0.737664  0.000000
7050.0    0.706326  0.000006  0.737759  0.000000
7060.0    0.705940  0.000005  0.737828  0.000000
7070.0    0.704740  0.000005  0.736972  0.000000
7080.0    0.703580  0.000004  0.736069  0.000000
7090.0    0.702717  0.000004  0.735413  0.000000
7100.0    0.702344  0.000004  0.735191  0.000000
7110.0    0.701830  0.000004  0.734728  0.000000
7120.0    0.701172  0.000004  0.734045  0.000000
7130.0    0.700394  0.000004  0.733259  0.000000
7140.0    0.699831  0.000004  0.732863  0.000000
7150.0    0.698461  0.000003  0.731770  0.000000
7160.0    0.697819  0.000003  0.731607  0.000000
7170.0    0.697154  0.000002  0.731601  0.000000
7180.0    0.695743  0.000002  0.730955  0.000000
7190.0    0.694712  0.000001  0.730877  0.000000
7200.0    0.694885  0.000001  0.732235  0.000000
7210.0    0.692886  0.000001  0.731471  0.000000
7220.0    0.691711  0.000001  0.731740  0.000000
7230.0    0.690353  0.000001  0.731970  0.000000
7240.0    0.690406  0.000001  0.733876  0.000000
7250.0    0.688749  0.000000  0.734115  0.000000
7260.0    0.688945  0.000000  0.736495  0.000000
7270.0    0.687408  0.000000  0.737178  0.000000
7280.0    0.685489  0.000000  0.737596  0.000000
7290.0    0.684378  0.000000  0.738865  0.000000
7300.0    0.682863  0.000000  0.739556  0.000000
7310.0    0.682508  0.000000  0.741387  0.000000
7320.0    0.681127  0.000000  0.741993  0.000000
7330.0    0.680227  0.000000  0.743024  0.000000
7340.0    0.679059  0.000000  0.743627  0.000000
7350.0    0.677757  0.000000  0.743952  0.000000
7360.0    0.675740  0.000000  0.743397  0.000000
7370.0    0.674127  0.000000  0.743139  0.000000
7380.0    0.673332  0.000000  0.743688  0.000000
7390.0    0.672389  0.000000  0.743913  0.000000
7400.0    0.670881  0.000000  0.743437  0.000000
7410.0    0.668981  0.000000  0.742485  0.000000
7420.0    0.667244  0.000000  0.741696  0.000000
7430.0    0.665984  0.000000  0.741401  0.000000
7440.0    0.664047  0.000000  0.740344  0.000000
7450.0    0.662867  0.000000  0.740188  0.000000
7460.0    0.660693  0.000000  0.739031  0.000000
7470.0    0.659014  0.000000  0.738577  0.000000
7480.0    0.658198  0.000000  0.739173  0.000000
7490.0    0.656408  0.000000  0.738887  0.000000
7500.0    0.654376  0.000000  0.738386  0.000000
7510.0    0.652957  0.000000  0.738755  0.000000
7520.0    0.651626  0.000000  0.739291  0.000000
7530.0    0.649032  0.000000  0.738602  0.000000
7540.0    0.647151  0.000000  0.738787  0.000000
7550.0    0.646232  0.000000  0.740074  0.000000
7560.0    0.644301  0.000000  0.740090  0.000000
7570.0    0.642592  0.000000  0.740344  0.000000
7580.0    0.640525  0.000000  0.740136  0.000000
7590.0    0.638860  0.000000  0.740312  0.000000
7600.0    0.636106  0.000000  0.739192  0.000000
7610.0    0.634344  0.000000  0.739100  0.000000
7620.0    0.632896  0.000000  0.739420  0.000000
7630.0    0.630977  0.000000  0.738937  0.000000
7640.0    0.629296  0.000000  0.738717  0.000000
7650.0    0.627304  0.000000  0.737826  0.000000
7660.0    0.625031  0.000000  0.736639  0.000000
7670.0    0.622227  0.000000  0.734544  0.000000
7680.0    0.620912  0.000000  0.734213  0.000000
7690.0    0.617874  0.000000  0.731628  0.000000
7700.0    0.615501  0.000000  0.729991  0.000000
7710.0    0.613841  0.000000  0.729098  0.000000
7720.0    0.611355  0.000000  0.727382  0.000000
7730.0    0.609069  0.000000  0.725772  0.000000
7740.0    0.607480  0.000000  0.725138  0.000000
7750.0    0.605089  0.000000  0.723439  0.000000
7760.0    0.602636  0.000000  0.721850  0.000000
7770.0    0.599457  0.000000  0.719261  0.000000
7780.0    0.597541  0.000000  0.718330  0.000000
7790.0    0.595929  0.000000  0.717642  0.000000
7800.0    0.592400  0.000000  0.714835  0.000000
7810.0    0.589923  0.000000  0.713275  0.000000
7820.0    0.588499  0.000000  0.713181  0.000000
7830.0    0.586178  0.000000  0.711970  0.000000
7840.0    0.582739  0.000000  0.709606  0.000000
7850.0    0.579942  0.000000  0.708106  0.000000
7860.0    0.577515  0.000000  0.707277  0.000000
7870.0    0.574942  0.000000  0.706274  0.000000
7880.0    0.572573  0.000000  0.705780  0.000000
7890.0    0.570267  0.000000  0.705323  0.000000
7900.0    0.567403  0.000000  0.704542  0.000000
7910.0    0.564847  0.000000  0.704016  0.000000
7920.0    0.562591  0.000000  0.704293  0.000000
7930.0    0.560126  0.000000  0.704105  0.000000
7940.0    0.557100  0.000000  0.703727  0.000000
7950.0    0.553911  0.000000  0.702904  0.000000
7960.0    0.551200  0.000000  0.703217  0.000000
7970.0    0.548456  0.000000  0.703218  0.000000
7980.0    0.545933  0.000000  0.704036  0.000000
7990.0    0.542722  0.000000  0.703689  0.000000
8000.0    0.539584  0.000000  0.703763  0.000000
8010.0    0.536477  0.000000  0.703495  0.000000
8020.0    0.533863  0.000000  0.704043  0.000000
8030.0    0.531436  0.000000  0.704610  0.000000
8040.0    0.528404  0.000000  0.704360  0.000000
8050.0    0.525123  0.000000  0.703779  0.000000
8060.0    0.521778  0.000000  0.702827  0.000000
8070.0    0.519068  0.000000  0.703053  0.000000
8080.0    0.515840  0.000000  0.702004  0.000000
8090.0    0.513187  0.000000  0.702159  0.000000
8100.0    0.510092  0.000000  0.701227  0.000000
8110.0    0.507382  0.000000  0.700972  0.000000
8120.0    0.503886  0.000000  0.699719  0.000000
8130.0    0.502116  0.000000  0.700322  0.000000
8140.0    0.499224  0.000000  0.700080  0.000000
8150.0    0.495972  0.000000  0.698329  0.000000
8160.0    0.491996  0.000000  0.696404  0.000000
8170.0    0.488824  0.000000  0.694931  0.000000
8180.0    0.486046  0.000000  0.694217  0.000000
8190.0    0.482689  0.000000  0.692815  0.000000
8200.0    0.479125  0.000000  0.690464  0.000000
8210.0    0.475897  0.000000  0.689374  0.000000
8220.0    0.473143  0.000000  0.688245  0.000000
8230.0    0.469908  0.000000  0.686826  0.000000
8240.0    0.466919  0.000000  0.685779  0.000000
8250.0    0.463233  0.000000  0.683018  0.000000
8260.0    0.459885  0.000000  0.681721  0.000000
8270.0    0.456889  0.000000  0.679852  0.000000
8280.0    0.453347  0.000000  0.678108  0.000000
8290.0    0.450046  0.000000  0.676210  0.000000
8300.0    0.447394  0.000000  0.675018  0.000000
8310.0    0.444310  0.000000  0.673710  0.000000
8320.0    0.441086  0.000000  0.671398  0.000000
8330.0    0.438001  0.000000  0.669967  0.000000
8340.0    0.435106  0.000000  0.668895  0.000000
8350.0    0.432122  0.000000  0.666883  0.000000
8360.0    0.428621  0.000000  0.665360  0.000000
8370.0    0.424483  0.000000  0.661004  0.000000
8380.0    0.421067  0.000000  0.659288  0.000000
8390.0    0.418041  0.000000  0.657444  0.000000
8400.0    0.414785  0.000000  0.655245  0.000000
8410.0    0.410986  0.000000  0.652879  0.000000
8420.0    0.407626  0.000000  0.649911  0.000000
8430.0    0.404649  0.000000  0.648183  0.000000
8440.0    0.402525  0.000000  0.647767  0.000000
8450.0    0.398522  0.000000  0.643750  0.000000
8460.0    0.394418  0.000000  0.640827  0.494840
8470.0    0.390756  0.000000  0.637501  0.500060
8480.0    0.387321  0.000000  0.634390  0.498399
8490.0    0.384183  0.000000  0.632650  0.496439
8500.0    0.380352  0.000000  0.627863  0.495581
8510.0    0.377177  0.000000  0.626414  0.495490
8520.0    0.374020  0.000000  0.623608  0.495271
8530.0    0.370149  0.000000  0.619551  0.494797
8540.0    0.366996  0.000000  0.617869  0.494957
8550.0    0.364135  0.000000  0.614220  0.496946
8560.0    0.360850  0.000000  0.611964  0.500564
8570.0    0.357884  0.000000  0.609289  0.502476
8580.0    0.353911  0.000000  0.604669  0.500506
8590.0    0.349888  0.000000  0.601439  0.495623
8600.0    0.347264  0.000000  0.598487  0.492674
8610.0    0.343570  0.000000  0.594650  0.493115
8620.0    0.341021  0.000000  0.592796  0.495029
8630.0    0.337873  0.000000  0.589278  0.493988
8640.0    0.334147  0.000000  0.585987  0.489426
8650.0    0.330135  0.000000  0.581746  0.482917
8660.0    0.327489  0.000000  0.579366  0.476195
8670.0    0.323644  0.000000  0.575541  0.469841
8680.0    0.318944  0.000000  0.569490  0.468302
8690.0    0.316843  0.000000  0.567793  0.471636
8700.0    0.313995  0.000000  0.566429  0.471636
8710.0    0.310184  0.000000  0.561924  0.000000
8720.0    0.306794  0.000000  0.558618  0.000000
8730.0    0.304739  0.000000  0.558354  0.000000
8740.0    0.301509  0.000000  0.553641  0.000000
